player_name,player_id,season,season_type,team,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,PO,TOR,320,167,-3.399772839449837,-1.121843544774684,-4.521616384224521,1.74114662675087,.5313247113181021,2.272471338068971,-2.531129535429518,-.7550619303513247,-3.286191465780843,-.0469529227974898,0,-.0469529227974898,-3.958066748079313,-.4516574649656203,-4.409724213044933,-.3407929566206567
Precious Achiuwa,achiupr01,2022,RS,TOR,3482,1725,-2.440796520354237,2.028669050810011,-.4121274695442256,-2.003025494409942,3.339821402198853,1.33679590778891,-2.516108092052226,2.410592609459829,-.1055154825923972,2.309610968577074,2.309610968577074,0,-2.34848377020455,2.251909209365019,-.0965745608395312,-.7642503078035557
Steven Adams,adamsst01,2022,PO,MEM,245,114,.4697953355447365,-1.023106773376316,-.5533114378315795,6.401428987348985,-6.953352816756377,-.551923829407392,1.708275665657589,-2.408183321363043,-.6999076557054533,.1229998445830231,0,.1229998445830231,.620152793171674,-2.926976400462196,-2.306823607290522,.0168952041033556
Steven Adams,adamsst01,2022,RS,MEM,4147,1999,.4706895965511266,1.489622184214346,1.960311780765473,6.284896174203987,-2.941525417228655,3.343370756975332,1.684133416766935,.6192272436622428,2.303360660429178,5.140587252649321,5.140587252649321,0,1.417836907767883,1.789452155088994,3.207289062856876,-.2577503776825809
Bam Adebayo,adebaba01,2022,PO,MIA,1197,614,-.2611777783599205,3.598685379489421,3.3375076011295,5.081145629184694,1.37464501757011,6.455790646754804,.8129128097886391,3.272563216541916,4.085476026330555,2.1725891645721,0,2.1725891645721,.0937975879375618,3.299658638955693,3.393456226893255,-1.579226028817305
Bam Adebayo,adebaba01,2022,RS,MIA,3696,1825,-.4442617442789292,3.761820578816306,3.317558834537377,.705122756529267,4.163775983973374,4.868898740502641,-.2538938252180927,4.034816187474428,3.780922362256335,6.102629373035682,6.102629373035682,0,.3740523824571566,3.445848606927503,3.81990098938466,.3550415426578831
Santi Aldama,aldamsa01,2022,RS,MEM,763,360,-2.582434628107598,-2.419017647097883,-5.00145227520548,-2.713255980041213,1.162841545658073,-1.55041443438314,-2.809477244026139,-1.865065459685644,-4.674542703711783,-.354748465790142,-.354748465790142,0,-1.643804080129696,-2.28101610524989,-3.924820185379586,.3575529361200885
LaMarcus Aldridge,aldrila01,2022,RS,BRK,2205,1050,-.515820827669507,2.245440029367716,1.729619201698209,1.0930653385025,-.4621390907990588,.6309262477034414,-.2411573213771769,1.83076823317327,1.589610911796093,2.319517969225026,2.319517969225026,0,.290867927577827,.8445189462824505,1.135386873860277,-.2260497374816763
Nickeil Alexander-Walker,alexani01,2022,PO,UTA,12,5,25.74651636203605,9.362507169042805,35.10902353107885,3.950252923403066,11.52358684287609,15.47383976627915,22.87961922765241,10.44487735123219,33.32449657888461,.0964079351895481,0,.0964079351895481,15.61548065385912,9.282873832158277,24.8983544860174,1.532774397205927
Nickeil Alexander-Walker,alexani01,2022,RS,UTA,308,149,-2.288791855509621,1.303681861495525,-.9851099940140957,-.0089504441043877,.5842119285101214,.5752614844057338,-2.040163146919665,1.182940291765646,-.8572228551540195,.1447393615752455,.1447393615752455,0,-1.741681880716026,.1276204472053068,-1.614061433510719,.5913229796844746
Nickeil Alexander-Walker,alexani01,2022,RS,NOP,2717,1317,-1.53218189155812,-1.541436682549971,-3.073618574108091,-2.698631371163521,-1.186978580658417,-3.885609951821937,-1.852400649614951,-1.547346857176079,-3.399747506791029,-.4396137646094258,-.4396137646094258,0,-.7009012320399926,-1.523139685797812,-2.224040917837804,.6932867343116746
Grayson Allen,allengr01,2022,PO,MIL,644,305,-.3300999303815405,.9892780736435626,.6591781432620221,-4.70267183725251,-3.116818875354741,-7.819490712607251,-1.221283482934595,.0572081570171178,-1.164075325917477,.2564693813097944,0,.2564693813097944,-2.215842658357837,-.0073691229696012,-2.223211781327438,.7422824068776144
Grayson Allen,allengr01,2022,RS,MIL,3824,1805,.5742096157108507,-.5348913757833615,.0393182399274892,-.0064406582825195,1.846627285940602,1.840186627658082,.4560792383198836,-.0907076061089258,.3653716322109578,2.866134370964548,2.866134370964548,0,.3982022017348527,-.3392047036899597,.058997498044893,-.0991891161537242
Jarrett Allen,allenja01,2022,RS,CLE,3667,1809,.2195413650861536,4.273031150345604,4.492572515431758,.0292814845759485,2.347238247863102,2.376519732439051,.1942346735639235,4.089200453318242,4.283435126882165,6.460446751955602,6.460446751955602,0,-.0535675768488784,3.470822716012623,3.417255139163745,-.4787128880535944
Jose Alvarado,alvarjo01,2022,PO,NOP,230,117,-.6142456941738567,.952315361532427,.3380696673585704,-11.80810299133561,2.211597048433661,-9.596505942901951,-3.100156789086554,1.316440355831328,-1.783716433255225,.0592568127364741,0,.0592568127364741,-.8579211757378153,2.250218290647452,1.392297114909636,-.3805998682993982
Jose Alvarado,alvarjo01,2022,RS,NOP,1749,834,.8387726558000064,4.398918200924755,5.237690856724761,1.385949478399418,4.696666865896274,6.082616344295692,1.006922245110488,4.740324984048678,5.747247229159166,3.610532587614111,3.610532587614111,0,.6642716256102751,4.26048583691261,4.924757462522885,-.1411656346635803
