player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Jordan Goodwin,goodwjo01,2022,9,6,-30.57681363091247,-2.416319503346037,-32.99313313425851,-42.19029213480791,-19.66828576438994,-61.85857789919785,-34.89015842017998,-6.135576471843645,-41.02573489202362,-.1087431306518136,-.1087431306518136,0,-20.42475698889524,-4.482941692354589,-24.90769868124983,-7.191955211393465
Aaron Gordon,gordoaa01,2022,5225,2536,-.6285098883795311,.0052351331923215,-.6232747551872095,5.523615764953214,-1.108198876049263,4.415416888903951,.5783956018546834,-.2149534172947878,.3634421845598956,4.044390443347138,3.455892129925149,.5884983134219888,.8360873273664449,-.8266516427521619,.009435684614283,-.1145608333877906
Eric Gordon,gordoer01,2022,3572,1669,-.5030771053839173,-3.117381606849865,-3.620458712233782,2.090942116122802,-.3652335693590469,1.725708546763755,.0467282067158375,-2.672329029680396,-2.625600822964559,.1059938688621929,.1059938688621929,0,-.6656133504836184,-4.164586895773612,-4.83020024625723,.0613721153996521
Devonte' Graham,grahade01,2022,4558,2222,.9173089403834179,-1.625119665337798,-.7078107249543806,.6988337180336632,-.9725501589849821,-.2737164409513188,.9312915322545058,-1.577517948841868,-.6462264165873621,2.378497927276582,2.255766003906034,.122731923370548,1.242348859015022,-1.435008227340612,-.1926593683255899,-.5697291063240626
Jerami Grant,grantje01,2022,3072,1500,.0858839755782346,-1.549756196903233,-1.463872221324999,-3.413735152623886,2.865980919516074,-.547754233107812,-.5228566792579588,-.6882653598021816,-1.21112203906014,1.176527362333205,1.176527362333205,0,-.8774984774992712,-.8565105023468359,-1.734008979846107,-.0998532419581059
Hassani Gravett,graveha01,2022,342,171,-.6199825781445789,-.6725068703055889,-1.292489448450168,.3006572004882614,2.416180670257983,2.716837870746244,-.4039935931210161,-.0571713001434401,-.4611648932644563,.1979760116378387,.1979760116378387,0,-.5908325324199026,-.7478378931532897,-1.338670425573192,-.8571515787868993
Danny Green,greenda02,2022,3399,1672,-.5998052766860976,1.289153267472456,.6893479907863586,1.368612177022532,1.212286215404159,2.580898392426691,-.2485773813554754,1.334798771057943,1.086221389702468,3.308754824466498,2.514186158260696,.7945686662058022,.0845117024546042,1.725242246793292,1.809753949247896,.0719853824347416
Draymond Green,greendr01,2022,4239,2032,-1.021126395590841,4.571822158297765,3.550695762706924,-.2612227981718983,4.433800066249602,4.172577268077704,-.9621271845780525,4.7564562237648,3.794329039186747,6.989095087566871,4.210573011809366,2.778522075757505,-.1488438049152223,4.717914661112184,4.569070856196962,1.648047842049333
JaMychal Green,greenja01,2022,2383,1154,-1.600615623330198,-.4556121483528612,-2.056227771683059,-3.890180043385341,.4927353424330153,-3.397444700952325,-2.207507806982098,-.2886887255575791,-2.496196532539677,.1528537349165692,.0777798778682748,.0750738570482944,-1.56807208374042,-.4580292403824386,-2.026101324122859,-.0406944287290943
Javonte Green,greenja02,2022,3339,1591,-.3716540613195805,1.832145011181234,1.460490949861654,2.134158964721394,.3880021166955078,2.522161081416902,.1409091265046704,1.658042304693807,1.798951431198477,3.691489659812755,3.456735460873763,.2347541989389924,-.4427781978452583,1.908548821671469,1.465770623826211,-.1849227549353881
Jalen Green,greenja05,2022,4566,2138,-1.000642063750647,-2.557744115564436,-3.558386179315083,-3.609121758169264,-2.951249070436234,-6.560370828605498,-1.538791420617653,-2.72707225691195,-4.265863677529603,-1.664680952321303,-1.664680952321303,0,-1.696773345904531,-3.144578813358695,-4.841352159263226,.6752674526507398
Jeff Green,greenje02,2022,4063,1962,-1.891164181066728,-1.644809799209709,-3.535973980276438,.6238094037931725,-2.28241448613717,-1.658605082343997,-1.506757224762046,-1.878335689387584,-3.38509291414963,-.6273832144274424,-.7502970063320655,.1229137919046232,-1.528955567148997,-2.647956980149061,-4.176912547298059,-.3863140398921577
Josh Green,greenjo02,2022,2425,1160,-1.78357226842567,1.447720547346478,-.3358517210791924,-3.145191625743352,3.199928151632551,.0547365258891991,-2.200507605225928,1.874140462471222,-.3263671427547064,1.440408119357451,1.468982859659989,-.0285747403025381,-2.536448109594164,1.061823051164385,-1.47462505842978,.5506873670954054
Blake Griffin,griffbl01,2022,2077,983,-.7099211607539363,5.295122285849076,4.58520112509514,-2.53308631524338,-2.355645750220177,-4.888732065463556,-1.161143826512326,4.033566437949657,2.872422611437332,2.886425763323839,2.391358056077025,.4950677072468137,-.5308962229287207,3.515847694580463,2.984951471651742,.3354635572217179
